username,password,role,order_cod,oper_name,host,domain,,,,,
admin1,Aspen100,manager,C21,CREATE_COMMENT,APEM-C-D3,APEM-C-D3,,,,,
admin2,Aspen100,viewer,C21,COMMENTS_GENERAL,APEM-C-D3,APEM-C-D3,,,,,APEM-C-D3
admin3,Aspen100,viewer,C21,COMMENTS_QC,APEM-C-D3,APEM-C-D3,,,,,
admin4,Aspen100,viewer,C21,COMMENTS_PRODUCTION,APEM-C-D3,APEM-C-D3,,,,,
admin5,Aspen100,viewer,C21,COMMENTS_WAREHOUSE,APEM-C-D3,APEM-C-D3,,,,,
admin6,Aspen100,manager,C22,CREATE_COMMENT,APEM-C-D3,APEM-C-D3,,,,,
admin7,Aspen100,viewer,C22,COMMENTS_GENERAL,APEM-C-D3,APEM-C-D3,,,,,
admin8,Aspen100,viewer,C22,COMMENTS_QC,APEM-C-D3,APEM-C-D3,,,,,
admin9,Aspen100,viewer,C22,COMMENTS_PRODUCTION,APEM-C-D3,APEM-C-D3,,,,,
admin10,Aspen100,viewer,C22,COMMENTS_WAREHOUSE,APEM-C-D3,APEM-C-D3,,,,,
admin11,Aspen100,manager,C23,CREATE_COMMENT,APEM-C-D3,APEM-C-D3,,,,,
admin12,Aspen100,viewer,C23,COMMENTS_GENERAL,APEM-C-D3,APEM-C-D3,,,,,
admin13,Aspen100,viewer,C23,COMMENTS_QC,APEM-C-D3,APEM-C-D3,,,,,
admin14,Aspen100,viewer,C23,COMMENTS_PRODUCTION,APEM-C-D3,APEM-C-D3,,,,,
admin15,Aspen100,viewer,C23,COMMENTS_WAREHOUSE,APEM-C-D3,APEM-C-D3,,,,,
admin16,Aspen100,manager,C24,CREATE_COMMENT,APEM-C-D3,APEM-C-D3,,,,,
admin17,Aspen100,viewer,C24,COMMENTS_GENERAL,APEM-C-D3,APEM-C-D3,,,,,
admin18,Aspen100,viewer,C24,COMMENTS_QC,APEM-C-D3,APEM-C-D3,,,,,
admin19,Aspen100,viewer,C24,COMMENTS_PRODUCTION,APEM-C-D3,APEM-C-D3,,,,,
admin20,Aspen100,viewer,C24,COMMENTS_WAREHOUSE,APEM-C-D3,APEM-C-D3,,,,,
